new entry "Target_StarlightStep"
type "SpellData"
data "SpellType" "Target"
using "Target_MistyStep"
data "TargetRadius" "18"
data "TargetConditions" "CanStand('')  and not Character() and not Self()"
data "Icon" "Spell_StarlightStep"
data "DisplayName" "h5cd770cag1665gfee9gaf5agb06b4c19d028;1"
data "Description" "h3da2f209gb7e3gbbe2g6224gb33d1c72c697;1"
data "CastSound" "Spell_Cast_Utility_MistyStep_L1to3"
data "TargetSound" "Spell_Impact_Utility_MistyStep_L1to3"
data "VocalComponentSound" "Vocal_Component_Teleport"
data "UseCosts" "BonusActionPoint:1;StarlightStepCharges:1"
data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;39daf365-ec06-49a8-81f3-9032640699d7,,;5c400e93-0266-499c-a2e1-75d53358460f,,;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;,,;,,"
data "SpellFlags" "HasHighGroundRangeExtension;RangeIgnoreVerticalThreshold;IgnoreSilence"
data "VerbalIntent" "Utility"
data "LineOfSightFlags" "AddSourceHeight"
data "PrepareEffect" "7121a488-7c9a-4ba1-a585-f79aaa77e97c"
data "CastEffect" "931dc1d5-a878-4844-aae5-6d23a6812bc9"
data "BeamEffect" "2ee02bd7-1c27-468c-afa4-a0edd011e100"
data "Cooldown" "None"
