new entry "Target_Aasimar_HealingHands"
type "SpellData"
data "SpellType" "Target"
data "Cooldown" "OncePerRest"
data "SpellProperties" "RegainHitPoints(LevelMapValue(AasimarHealingBonus))"
data "TargetRadius" "1.5"
data "TargetConditions" "Character() and not Dead()"
data "Icon" "Action_Aasimar_HealingHands"
data "DisplayName" "h25b023fcg8a95gd791g3c80gc964b39db3f4;1"
data "Description" "h65b347754b8e42b4b64bfc1ba1824068e8ge;1"
data "DescriptionParams" "RegainHitPoints(LevelMapValue(AasimarHealingBonus))"
data "TooltipDamageList" "RegainHitPoints(LevelMapValue(AasimarHealingBonus))"
data "CastSound" "Spell_Cast_Healing_CureWounds_L1to3"
data "TargetSound" "Spell_Impact_Healing_LayOnHands_SmallHeal"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "CycleConditions" "Ally() and not Dead()"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "83fb0115-57dd-4cce-ac40-87182b2865e2,,;,,;4b27cbbb-6774-4037-a620-80901b11a10f,4b27cbbb-6774-4037-a620-80901b11a10f,4b27cbbb-6774-4037-a620-80901b11a10f;52ffbb9a-a97b-448e-acaf-06344ce9be87,,;42014429-21fb-412d-bba6-0f8216f5e502,,;,,;43fa5e31-ad7e-47a9-9ca2-f6d40ba8e1cf,,;032cf56a-3808-45ad-9991-740431d9c14f,,;4b385541-a3a3-429d-93ae-dffa6da50050,,"
data "VerbalIntent" "Healing"
data "SpellFlags" "IsMelee;HasSomaticComponent"
data "SpellAnimationType" "Assisting"
data "SpellAnimationIntentType" "Peaceful"
data "HitAnimationType" "MagicalNonDamage"
data "PrepareEffect" "810a605a-8a5f-4f67-8407-505267f0b1f2"
data "CastEffect" "bf0ab3b7-c68f-4e8e-a2cb-b02e63bd0e1b"
data "TargetEffect" "d16a93f4-ddb5-4175-9b3f-22eced19ff02"

